x
y
z
q
g
,ai
,an
,au
,ay
,af
,ea
,ee
,ei
,eu
,ey
,ie
,is
,in
,oe
,oi
,oo
,ou
,oy
,ui
,uy
y
,sh
,th
,ge
,ch
,ng
,ph
,kn
,wr
,mb
,ll
,mm
,nn
,pp
,rr
,ss
,tt
,zz
,qu
,ce
,ci
,gi
,se
,si
,ze
,sc
,xo
,ba
,bi
,bo
,bu
,da
,de
,di
,do
,du
,fa
,fe
,fi
,fu
,ga
,go
,gu
,ha
,hi
,ho
,hu
,ja
,jo
,ju
,ka
,ko
,la
,le
,li
,lo
,lu
,ma
,me
,mi
,mo
,mu
,na
,ne
,ni
,no
,nu
,pa
,pe
,pi
,po
,pu
,ra
,re
,ri
,ro
,ru
,sa
,se
,si
,so
,su
,ta
,te
,ti
,to
,tu
,va
,ve
,vi
,vo
,vu
,za
,zo
,zu
,zi
,bi
,ca
,co
,cu
,da
,de
,di
,fa
,fe
,fi
,ha
,he
,ho
,ja
,je
,ka
,ke
,la
,le
,lo
,ma
,me
,mi
,na
,ne
,no
,pa
,pe
,pi
,ra
,re
,ri
,sa
,se
,so
,ta
,te
,to
,va
,ve
,vi
,br
,gr
,tr
,cr
,dr
,,bra
,,bre
,,bri
,,bro
,,bru
,,dra
,,dre
,,dri
,,dro
,,dru
,,fra
,,fre
,,fri
,,fro
,,fru
,,gra
,,gre
,,gri
,,gro
,,gru
,,pra
,,pre
,,pri
,,pro
,,pru
,,tra
,,tre
,,tri
,,tro
,,tru
,,bla
,,ble
,,bli
,,blo
,,blu
,,cla
,,cle
,,cli
,,clo
,,dra
,,dre
,,dri
,,dro
,,dru
,,fra
,,fre
,,fri
,,fro
,,fru
,,gra
,,gre
,,gri
,,gro
,,gru
,,pra
,,pre
,,pri
,,pro
,,pru
,,tra
,,tre
,,tri
,,tro
,,tru
,,ssi
,,gue
,,que
,,tch
,,ger
,,dra
,,sre
,,ass
,,rer
,,,,erdre
,,,,colat
